monthly_income,employment_status,loan_amount,emi,existing_loans,credit_utilization,repayment_history,delayed_payments,outstanding_debt,cibil_score_range,risk
21600,Self-Employed,461000,15800,5,81,53,4,274000,300-549,High
50800,Salaried,479000,12200,2,16,99,1,38000,750-900,Low
27700,Self-Employed,525000,17100,4,87,52,5,330000,300-549,High
25900,Self-Employed,455000,16400,3,89,60,4,300000,300-549,High
44800,Salaried,397000,9600,1,24,100,0,55000,750-900,Low
35800,Self-Employed,378000,12600,3,51,87,1,103000,650-749,Medium
19200,Self-Employed,293000,11700,3,75,67,2,181000,550-649,High
20500,Salaried,342000,12000,3,75,62,3,214000,550-649,High
17900,Self-Employed,403000,13600,4,78,61,3,261000,300-549,High
31500,Salaried,308000,7500,1,16,95,0,53000,750-900,Low
30800,Salaried,342000,10400,2,56,79,1,114000,650-749,Medium
35300,Self-Employed,428000,12000,1,57,86,0,114000,650-749,Medium
51200,Salaried,499000,12100,1,15,97,1,44000,750-900,Low
22700,Self-Employed,419000,16800,4,85,55,3,327000,300-549,High
